corpus,chunk1,chunk2
óvatosan,óvatos,an
képet,ké,pet
képet,kép,et
adta,ad,ta
igenis,igen,is
személyes,személy,es
csináltál,csinál,tál
csináltál,csinált,ál
rajtad,raj,tad
rajtad,rajt,ad
várom,vá,rom
várom,vár,om
hacsak,ha,csak
kíváncsi,kíván,csi
amiről,ami,ről
gyereket,gyere,ket
gyereket,gyerek,et
egyenesen,egyenes,en
seggfej,segg,fej
ölte,öl,te
hallottad,hallott,ad
vette,vet,te
maradok,mar,adok
maradok,mara,dok
maradok,marad,ok
figyeljen,figyel,jen
figyeljen,figyelj,en
alex,al,ex
mondj,mon,dj
életed,élet,ed
baleset,bal,eset
mama,ma,ma
siess,si,ess
teszem,te,szem
teszem,tesz,em
mentem,ment,em
szükséges,szükség,es
férjem,fér,jem
férjem,férj,em
férje,fér,je
minél,mi,nél
minél,min,él
segítsen,segít,sen
segítsen,segíts,en
állandóan,állandó,an
kétszer,két,szer
hagytam,hagy,tam
évig,év,ig
abból,ab,ból
finom,fin,om
úgyis,úgy,is
hónapja,hó,napja
hónapja,hónap,ja
magunkat,magunk,at
akartál,akar,tál
akartál,akart,ál
világos,világ,os
kapni,kap,ni
szeretek,sze,retek
régóta,rég,óta
kedvesem,kedve,sem
kedvesem,kedves,em
szállj,szál,lj
hívja,hív,ja
hagyta,hagy,ta
földön,föld,ön
történet,történ,et
rendes,ren,des
rendes,rend,es
világot,világ,ot
bármilyen,bár,milyen
bármilyen,bármily,en
őrmester,őr,mester
könnyen,könny,en
magadra,magad,ra
hasonló,hason,ló
baba,ba,ba
jane,ja,ne
hozni,hoz,ni
hívnak,hív,nak
rájöttem,rá,jöttem
rájöttem,rájött,em
vett,ve,tt
úristen,úr,isten
valakivel,val,akivel
valakivel,valaki,vel
embernek,ember,nek
korán,kor,án
csinos,csi,nos
csinos,csin,os
ígérem,ígér,em
zárva,zár,va
valamilyen,val,amilyen
valamilyen,vala,milyen
olyat,oly,at
mennek,men,nek
miattad,miatt,ad
csinálom,csin,álom
csinálom,csinál,om
használni,használ,ni
során,sor,án
kocsi,ko,csi
jimmy,jim,my
félre,fél,re
keményen,kemény,en
semmilyen,sem,milyen
hívni,hív,ni
sokan,so,kan
sokan,sok,an
mégsem,még,sem
kérni,kér,ni
pillanatban,pillanat,ban
mondjak,mondj,ak
szólj,szó,lj
bármikor,bár,mikor
bármikor,bármi,kor
nappal,nap,pal
aranyos,arany,os
ezredes,ezred,es
álljon,áll,jon
álljon,állj,on
szólt,szó,lt
akiket,aki,ket
akiket,akik,et
percre,perc,re
hozta,hoz,ta
tartja,tart,ja
ajtó,aj,tó
földre,föl,dre
földre,föld,re
tartott,tart,ott
véletlenül,véletlen,ül
bill,bi,ll
csinálta,csinál,ta
bocsáss,bocs,áss
nevetséges,nevetség,es
hónap,hó,nap
várni,vár,ni
rendőr,rend,őr
remekül,remek,ül
örökké,örök,ké
próbálok,próbál,ok
örökre,örök,re
tetted,tett,ed
által,ál,tal
akarjuk,akarj,uk
vártam,vár,tam
vártam,várt,am
hátha,hát,ha
tudna,tud,na
vált,vá,lt
aznap,az,nap
steve,st,eve
alkalommal,alkalom,mal
szívességet,szívesség,et
helyett,helye,tt
adom,ad,om
hiba,hi,ba
nevet,ne,vet
kértem,kért,em
miattam,miatt,am
örömmel,öröm,mel
dehogynem,dehogy,nem
bírom,bír,om
találtak,talál,tak
találtak,talált,ak
tommy,tom,my
kórházba,kór,házba
kórházba,kórház,ba
nyitva,nyit,va
ötletem,ötlet,em
férfiak,férfi,ak
maradsz,mar,adsz
helyi,hel,yi
önök,ön,ök
csinálunk,csi,nálunk
továbbra,tovább,ra
kórházban,kór,házban
kórházban,kórház,ban
testvér,test,vér
biztonságos,biztonság,os
személy,sze,mély
menned,men,ned
próbálom,próbál,om
délután,dél,után
jártam,jár,tam
jártam,járt,am
kapok,kap,ok
igazságot,igazság,ot
egyszerre,egyszer,re
richard,ric,hard
némi,né,mi
hete,he,te
rosszat,rossz,at
mihez,mi,hez
számodra,számod,ra
nehogy,ne,hogy
aminek,ami,nek
gazdag,gaz,dag
kevés,kev,és
egymás,egy,más
telefont,tele,font
tartom,tart,om
időre,id,őre
időre,idő,re
vinni,vin,ni
tesó,te,só
különösen,különös,en
kezed,ke,zed
ezúttal,ez,úttal
hamar,ha,mar
segítséget,segíts,éget
segítséget,segítség,et
hagyott,hagy,ott
állni,áll,ni
kapcsolat,kapcsol,at
hívom,hív,om
istennek,ist,ennek
istennek,isten,nek
buli,bu,li
pillanatra,pillanat,ra
ismerek,is,merek
tagja,tag,ja
mehetünk,me,hetünk
nemsokára,nem,sokára
nemsokára,nemsoká,ra
papa,pa,pa
indulás,indul,ás
nővér,nő,vér
fogva,fog,va
sohasem,soha,sem
kért,ké,rt
autó,au,tó
amin,am,in
készült,ké,szült
készült,kész,ült
figyelem,figyel,em
amilyen,am,ilyen
önöket,ön,öket
önöket,önök,et
gyorsabban,gyors,abban
gyorsabban,gyorsabb,an
hogyhogy,hogy,hogy
hamis,ham,is
csináltad,csinál,tad
csináltad,csinált,ad
embereknek,emberek,nek
veszem,ve,szem
veszem,vesz,em
bajban,baj,ban
kapd,ka,pd
várok,vár,ok
bizonyára,bizony,ára
hálás,hál,ás
évet,év,et
mindenhol,minden,hol
szabadon,szabad,on
személyesen,személye,sen
személyesen,személyes,en
érdekli,érdek,li
csináljak,csinálj,ak
érezni,érez,ni
várjatok,várja,tok
ügyvéd,ügy,véd
szólok,szól,ok
állnak,áll,nak
könyvet,könyv,et
egymással,egy,mással
egymással,egymás,sal
bátyám,báty,ám
valamire,val,amire
valamire,vala,mire
valamire,valami,re
tudnál,tud,nál
kapcsolatot,kapcsolat,ot
hátsó,hát,só
családom,család,om
híres,hír,es
mitől,mi,től
jake,ja,ke
ingyen,ing,yen
láttál,lát,tál
írta,ír,ta
pasi,pa,si
csinálnak,csinál,nak
filmet,film,et
pofa,po,fa
magamnak,magam,nak
basszus,bassz,us
részeg,ré,szeg
részeg,rész,eg
kapcsolatba,kapcsolat,ba
gyerekeket,gyereke,ket
gyerekeket,gyerekek,et
pokolba,pokol,ba
katona,kato,na
halni,hal,ni
másodperc,másod,perc
napig,nap,ig
szemed,szem,ed
halálra,halál,ra
ügyes,ügy,es
eddie,ed,die
eddie,edd,ie
olyanok,olyan,ok
fizetni,fizet,ni
azonban,azon,ban
tenned,ten,ned
olvastam,olvas,tam
gondolta,gondol,ta
tuti,tu,ti
akartad,akar,tad
akartad,akart,ad
inni,in,ni
tartsa,tart,sa
állat,áll,at
jobbra,jobb,ra
bácsi,bá,csi
képzelni,képzel,ni
mindkét,mind,két
aggódjon,aggódj,on
darab,da,rab
darab,dar,ab
teszed,te,szed
teszed,tesz,ed
tehetem,te,hetem
tehetem,tehet,em
akartok,akar,tok
akartok,akart,ok
brian,bri,an
járni,jár,ni
nézzen,néz,zen
nézzen,nézz,en
sikerül,si,kerül
sikerül,siker,ül
találtál,talál,tál
találtál,talált,ál
bármelyik,bár,melyik
hitte,hit,te
hozom,hoz,om
magányos,magány,os
történni,történ,ni
találom,tal,álom
találom,talál,om
katonai,kato,nai
mehetek,me,hetek
bántani,bánta,ni
kate,ka,te
messzire,messzi,re
magadnak,mag,adnak
magadnak,magad,nak
fajta,faj,ta
próbálja,próbál,ja
anna,an,na
keresni,keres,ni
rendesen,rendes,en
képesek,kép,esek
szerezni,szerez,ni
természetes,természet,es
ugyanazt,ugyan,azt
rendőrséget,rend,őrséget
rendőrséget,rendőrség,et
üljön,ül,jön
üljön,ülj,ön
adam,ad,am
nemrég,nem,rég
kevin,ke,vin
kevin,kev,in
pénzem,pénz,em
bátor,bá,tor
balra,bal,ra
élve,él,ve
bobby,bob,by
francia,fran,cia
világban,világ,ban
szemem,szem,em
ismertem,is,mertem
ismertem,ismert,em
gondolni,gondol,ni
ruhát,ru,hát
hozok,hoz,ok
dolga,dol,ga
súlyos,súly,os
írtam,ír,tam
írtam,írt,am
keresem,keres,em
ugyanolyan,ugyan,olyan
ezután,ez,után
esti,es,ti
kocsiban,kocsi,ban
írja,ír,ja
lássam,láss,am
fejem,fe,jem
fejem,fej,em
nemet,ne,met
nemet,nem,et
rendszer,rend,szer
bocsásson,bocsáss,on
italt,it,alt
életemet,élete,met
életemet,életem,et
döntöttem,döntött,em
eset,es,et
nahát,na,hát
tökéletesen,tökéletes,en
martin,mar,tin
napra,nap,ra
ismer,is,mer
hajót,ha,jót
adjon,ad,jon
adjon,adj,on
walter,walt,er
várja,vár,ja
bajba,baj,ba
tenne,ten,ne
hűha,hű,ha
igazam,igaz,am
szörnyen,szörny,en
álom,ál,om
pasas,pa,sas
pasas,pas,as
szeretni,szeret,ni
mellé,mel,lé
semmire,sem,mire
semmire,semmi,re
egyetértek,egye,tértek
egyetértek,egyet,értek
képest,kép,est
képest,képe,st
nyilvánvalóan,nyilvánvaló,an
reméltem,rem,éltem
mindezt,mind,ezt
találta,talál,ta
jelen,jel,en
habár,ha,bár
habár,hab,ár
támadás,támad,ás
írni,ír,ni
hivatalos,hivatal,os
fuss,fu,ss
hallott,hall,ott
hallott,hallo,tt
ismersz,is,mersz
mindenre,minden,re
ahogyan,ahogy,an
dolgod,dol,god
hónapban,hó,napban
hónapban,hónap,ban
titokban,titok,ban
ugyanúgy,ugyan,úgy
családja,család,ja
tulajdonképpen,tulajdon,képpen
tulajdonképpen,tulajdonképp,en
halálos,halál,os
élnek,él,nek
hall,ha,ll
folyamatosan,folyamat,osan
folyamatosan,folyamatos,an
hahó,ha,hó
szíves,szív,es
hallottál,hallott,ál
akartalak,akart,alak
mindet,mind,et
kínai,kín,ai
másikat,másik,at
matt,ma,tt
emily,em,ily
kelj,ke,lj
vezetni,vezet,ni
fiút,fi,út
tied,ti,ed
veszed,ve,szed
veszed,vesz,ed
tüzet,tüz,et
testvérem,test,vérem
testvérem,testvér,em
öltem,ölt,em
emberekkel,emberek,kel
máskor,más,kor
szintén,szint,én
mutatni,mutat,ni
nővel,nő,vel
ismert,is,mert
jason,ja,son
luke,lu,ke
készül,ké,szül
készül,kész,ül
nyilvánvaló,nyilván,való
amióta,ami,óta
használja,használ,ja
szólva,szól,va
lépés,lép,és
éljen,él,jen
éljen,élj,en
egyelőre,egyel,őre
miből,mi,ből
telt,te,lt
mindez,mind,ez
módja,mód,ja
totál,to,tál
kerülni,kerül,ni
parancsot,parancs,ot
simán,si,mán
simán,sim,án
őrnagy,őr,nagy
rakás,rak,ás
üzletet,üzlet,et
tanár,tan,ár
hercegnő,herceg,nő
amennyire,am,ennyire
amennyire,amennyi,re
azoknak,azok,nak
kínos,kín,os
mentél,men,tél
mentél,ment,él
harcolni,harcol,ni
sehol,se,hol
barátnőm,barát,nőm
fogadok,fog,adok
fogadok,foga,dok
fogadok,fogad,ok
segítségre,segíts,égre
segítségre,segítség,re
játékot,játék,ot
ajándékot,ajándék,ot
ugyanezt,ugyan,ezt
sehova,se,hova
szexi,sze,xi
pokol,po,kol
vetted,vet,ted
vetted,vett,ed
küldte,küld,te
dave,da,ve
járok,jár,ok
ruha,ru,ha
döntés,dönt,és
ilyenkor,ilyen,kor
féltem,félt,em
menő,me,nő
tehetünk,te,hetünk
táncolni,táncol,ni
fejed,fe,jed
fejed,fej,ed
máshol,más,hol
hogyha,hogy,ha
talál,tal,ál
segítesz,segít,esz
feje,fe,je
maguknak,maguk,nak
hívta,hív,ta
kérdezni,kérdez,ni
ezekkel,ezek,kel
sean,se,an
szólnál,szól,nál
hívtam,hív,tam
földet,föld,et
ágyban,ágy,ban
simon,si,mon
simon,sim,on
tisztán,tiszt,án
bajom,baj,om
erősen,erő,sen
erősen,erős,en
városba,város,ba
nemde,nem,de
várnak,vár,nak
próbáljuk,próbálj,uk
hívjon,hív,jon
hívjon,hívj,on
kérte,kér,te
számot,szám,ot
nőnek,nő,nek
bizonyítékot,bizonyíték,ot
nélküled,nélkül,ed
annie,ann,ie
állítja,állít,ja
barom,ba,rom
barom,bar,om
nincsen,nincs,en
nézzenek,nézze,nek
idős,id,ős
keresnek,keres,nek
tudnia,tud,nia
mélyen,mély,en
akiknek,akik,nek
josh,jo,sh
magaddal,magad,dal
házba,ház,ba
egyesült,egye,sült
egyesült,egyes,ült
német,né,met
gondoltál,gondol,tál
gondoltál,gondolt,ál
másnak,más,nak
akárcsak,akár,csak
jóképű,jó,képű
mellettem,mell,ettem
mellettem,mellett,em
nagyra,nagy,ra
követni,kö,vetni
követni,követ,ni
mondhatom,mondhat,om
idők,id,ők
olvasni,olvas,ni
magamat,magam,at
hagyjon,hagy,jon
hagyjon,hagyj,on
valamikor,val,amikor
valamikor,vala,mikor
valamikor,valami,kor
valamikor,valamik,or
olyasmi,olyas,mi
barátnője,barát,nője
barátnője,barátnő,je
szerette,szer,ette
szerette,szeret,te
üzenet,üzen,et
akkora,ak,kora
emma,em,ma
követ,kö,vet
jutni,jut,ni
engedje,enged,je
mindennek,mind,ennek
mindennek,minden,nek
atya,at,ya
mára,má,ra
anyukád,anyu,kád
futás,fut,ás
csináltok,csinál,tok
csináltok,csinált,ok
kapta,kap,ta
mindegyik,mind,egyik
szóljon,szól,jon
szóljon,szólj,on
egymásnak,egy,másnak
egymásnak,egymás,nak
állapotban,állapot,ban
mondanak,monda,nak
vigyázzon,vigyázz,on
alice,al,ice
szeme,sze,me
fájdalom,fáj,dalom
utánam,után,am
hivatalosan,hivatal,osan
hivatalosan,hivatalos,an
tudtál,tud,tál
rájött,rá,jött
hagytad,hagy,tad
izgatott,izgat,ott
ismerte,is,merte
ismerte,ismer,te
helyesen,helye,sen
helyesen,helyes,en
maradunk,mar,adunk
valamiféle,vala,miféle
valamiféle,valami,féle
kapja,kap,ja
lépni,lép,ni
szóba,szó,ba
lisa,li,sa
szemmel,szem,mel
magamra,magam,ra
emberei,ember,ei
amerika,am,erika
abby,ab,by
hétvégén,hét,végén
helyzetet,helyzet,et
amennyit,am,ennyit
amennyit,amen,nyit
susan,su,san
parti,par,ti
dalt,da,lt
william,wil,liam
alan,al,an
eszed,es,zed
eszed,esz,ed
nyerni,nyer,ni
profi,pro,fi
találok,talál,ok
évad,év,ad
hadsereg,had,sereg
magammal,magam,mal
apámat,apám,at
mellette,mell,ette
mellette,mellet,te
szokásos,szokás,os
telefonon,telefon,on
találjuk,találj,uk
kedvelem,kedvel,em
hajrá,haj,rá
hónappal,hó,nappal
hónappal,hónap,pal
hívtál,hív,tál
kezdem,kezd,em
bort,bo,rt
jackson,jack,son
kérdésem,kérdés,em
hatással,hatás,sal
létre,lét,re
épület,épül,et
nőket,nő,ket
nőket,nők,et
dean,de,an
csakis,csak,is
korai,ko,rai
korai,kor,ai
test,te,st
percig,perc,ig
szülei,szül,ei
fiad,fi,ad
hozzátok,hozzá,tok
célpont,cél,pont
rendőrök,rend,őrök
rendőrök,rendőr,ök
egymáshoz,egy,máshoz
egymáshoz,egymás,hoz
képeket,képe,ket
képeket,képek,et
kezelni,kezel,ni
tudjam,tud,jam
tudjam,tudj,am
pontos,pont,os
öregem,öreg,em
eszem,esz,em
azokkal,az,okkal
azokkal,azok,kal
egészséges,egészség,es
nővérem,nő,vérem
nővérem,nővé,rem
nővérem,nővér,em
lucy,lu,cy
éven,év,en
bajt,ba,jt
ezeknek,ezek,nek
tanultam,tanul,tam
tanultam,tanult,am
történetet,történ,etet
történetet,történet,et
kocsiba,kocsi,ba
valamelyik,val,amelyik
valamelyik,vala,melyik
nézzem,nézz,em
sikeres,si,keres
sikeres,siker,es
határozottan,határozott,an
amitől,ami,től
férjhez,férj,hez
okoz,ok,oz
nyitott,nyit,ott
gyanúsított,gyanúsít,ott
okozta,okoz,ta
barátai,barát,ai
választásom,választás,om
egyél,egy,él
buta,bu,ta
százados,század,os
jönne,jön,ne
hallgatni,hallgat,ni
kezdve,kezd,ve
lábam,lá,bam
lábam,láb,am
találtuk,talált,uk
útra,út,ra
jártál,jár,tál
jártál,járt,ál
későn,kés,őn
házas,ház,as
kezeket,keze,ket
kezeket,kezek,et
japán,ja,pán
azta,az,ta
halottak,halott,ak
kaptál,kap,tál
hívjuk,hívj,uk
tanulni,tanul,ni
pohár,po,hár
néni,né,ni
rose,ro,se
nemcsak,nem,csak
nélküli,nél,küli
melletted,mell,etted
melletted,mellet,ted
melletted,mellett,ed
életre,élet,re
helye,hel,ye
magán,mag,án
hoztál,hoz,tál
kulcsot,kulcs,ot
laura,la,ura
laura,lau,ra
fogtok,fog,tok
viszem,vi,szem
viszem,visz,em
teli,te,li
találja,talál,ja
kövér,kö,vér
szörnyeteg,szörnyet,eg
tanács,tan,ács
akartak,akar,tak
akartak,akart,ak
öngyilkos,ön,gyilkos
julia,ju,lia
országban,ország,ban
róluk,ról,uk
másra,más,ra
doboz,dob,oz
alak,al,ak
kórház,kór,ház
valahova,val,ahova
valahova,vala,hova
vigyázni,vigyáz,ni
csakhogy,csak,hogy
értesz,ér,tesz
értesz,ért,esz
hétig,hét,ig
indulok,indul,ok
ismerős,ismer,ős
figyelmet,figyel,met
hangja,hang,ja
családot,család,ot
nézem,néz,em
istenit,isten,it
donna,don,na
